Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,Activity,Total Power (W),Unix Time
2024-11-28 16:45:27,5,1,-0.4715070625753676,-0.9732889005651845,6,4,-0.3002907251160326,1.7293250091460206
2024-11-28 13:56:16,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.03185816504645905,-1.7054868184398704
2024-11-28 13:56:28,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.03185816504645905,-1.7014263572113184
2024-11-28 13:56:41,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.03185816504645905,-1.6970275242137205
2024-11-28 13:56:53,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.5965689017294427,-1.6929670629851687
2024-11-28 13:57:05,6,0,0.3479014289213462,-0.9733275944259312,1,4,1.224807976880891,-1.6889066017566168
2024-11-28 13:57:17,6,0,0.3479014289213462,-0.9733275944259312,1,4,1.224807976880891,-1.6848461405280648
2024-11-28 13:57:29,6,0,0.3479014289213462,-0.9733275944259312,1,4,1.224807976880891,-1.6807856792995128
2024-11-28 13:57:41,6,0,0.3479014289213462,-0.9733275944259312,1,4,1.224807976880891,-1.6767252180709609
2024-11-28 13:57:53,6,0,0.3479014289213462,-0.9733275944259312,1,4,1.2010248806392723,-1.672664756842409
2024-11-28 13:58:05,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.16618672579311694,-1.6686042956138571
2024-11-28 13:58:17,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.16618672579311694,-1.6645438343853052
2024-11-28 13:58:29,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.16618672579311694,-1.6604833731567532
2024-11-28 13:58:41,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.3105184772336739,-1.6564229119282012
2024-11-28 13:58:54,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.17602659908793228,-1.6520240789306033
2024-11-28 13:59:06,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.845362544559155,-1.6479636177020514
2024-11-28 13:59:18,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.845362544559155,-1.6439031564734994
2024-11-28 13:59:30,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.845362544559155,-1.6398426952449474
2024-11-28 13:59:42,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.845362544559155,-1.6357822340163957
2024-11-28 13:59:54,6,0,0.3479014289213462,-0.9733275944259312,1,4,-0.8456075206577812,-1.6317217727878437
2024-11-28 14:00:07,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.5508196153110135,-1.6273229397902458
2024-11-28 14:00:20,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.5508196153110135,-1.6229241067926479
2024-11-28 14:00:32,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.5508196153110135,-1.618863645564096
2024-11-28 14:00:44,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.5508196153110135,-1.614803184335544
2024-11-28 14:00:56,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.5511870794589533,-1.610742723106992
2024-11-28 14:01:08,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.35422629616355045,-1.60668226187844
2024-11-28 14:01:20,6,1,0.3479014289213462,-0.9733275944259312,1,4,-0.35422629616355045,-1.602621800649888
